SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0.08509153,-0.0041745184,-0.0011250445,-0.24924962,-0.01879733,-0.021561837,-0.15843494,-0.07515472,-0.0029644116,-0.006419518,-0.00044255264,-0.18184593,-0.031153139,-0.0036144832,0.012096689,0.0,0.0020704614,0.0,-0.00044650855,0.0,0.008527935,0.0,-0.025031619,0.0,-0.016914407,0.05508911,-0.6687642,-0.0010078948,-0.04106147,0.0005529255
-0.016967062,0.0009307215,0.0038246475,-0.22316468,-0.027409468,-0.025109457,-0.18908179,-0.06106754,0.009877907,-0.008859846,0.01139518,-0.34905118,-0.082704134,-0.00885416,0.0048373076,0.0,0.0046070614,0.0,-0.0006891462,0.0,0.012422312,0.0,-0.020338306,0.0,-0.033806328,0.110682614,0.14211684,0.0006998928,-0.066375956,0.00615476
-0.0088363625,-0.004252231,0.006755239,0.14198178,-0.008285901,0.015777005,0.16753343,-0.048601992,-0.0050800527,-0.0026541639,0.01330377,0.32487854,0.012953462,0.0012114631,0.016535625,0.0,0.0048914975,0.0,0.0002897246,0.0,0.014336305,0.0,0.024380568,0.0,0.056603435,0.10980083,0.21121307,-0.042217378,-0.06570575,0.00094398425
-0.019027144,-0.016613375,0.0028367382,-0.29565048,-0.041545045,0.013886219,-0.06224153,-0.08037131,-0.00931266,-0.010345594,4.2488235e-05,-0.31226295,0.020307282,0.0015010387,-0.051359013,0.0,0.0018200637,0.0,-0.0020105813,0.0,0.019932676,0.0,-0.02579957,0.0,-0.03540048,0.11676895,0.14210196,0.00027470192,-0.07094031,-0.01071124
-0.011774958,0.00469603,0.006251219,0.06912137,0.065890305,-0.04161473,-0.06651407,0.09422119,0.0037441181,0.025383469,-0.008586675,-0.20450635,0.058052007,0.00677772,-0.08015175,0.0,0.003538805,0.0,0.00058040477,0.0,0.0123024,0.0,-0.015028527,0.0,-0.024221081,0.14458032,0.18846668,-0.00029145152,-0.06975959,0.020660905
-0.014366689,-0.0063992967,0.0071196877,0.31123355,0.047279734,-0.03804689,-0.015120059,0.07838753,-0.005979719,0.011813811,-0.008240955,-0.18702146,0.1056079,0.015906278,0.01856419,0.0,-0.0053837653,0.0,0.00037819069,0.0,0.017187187,0.0,-0.013331659,0.0,-0.025398036,0.1526005,0.21143551,-0.036048174,-0.05004709,0.015638849
0.040234383,0.0008522101,-0.015155467,-0.237356,-0.024214748,0.0064008585,-0.09501534,-0.10436849,0.005871186,-0.006585359,0.0018578087,-0.2539904,0.013759572,0.0014662703,0.021448484,0.0,-0.005221984,0.0,0.002802896,0.0,0.019770244,0.0,0.024639977,0.0,0.08130893,-0.3267774,0.121525295,-0.0009402058,0.08710431,-0.0036542611
0.03099561,0.0011598922,0.0032382119,0.08291692,-0.009973005,0.0129227415,0.04403906,-0.048099466,0.0030772176,-0.0031289582,-0.04736379,0.26881546,0.012796698,0.0010901842,0.018947126,0.0,0.005298062,0.0,0.0008845736,0.0,0.01474889,0.0,0.020841032,0.0,0.023588255,0.13513128,0.21647565,0.0025982168,0.07207408,0.0009091665
-0.014982763,0.0047710845,0.002417648,-0.29011378,-0.038488034,0.011236982,-0.104947634,-0.08117189,0.016101375,-0.015636101,-0.00058487,-0.33392683,0.019331174,0.0011908858,-0.041020602,0.0,-0.01069082,0.0,-0.00047209125,0.0,0.02256598,0.0,0.020183867,0.0,-0.03140183,0.10492408,0.14588262,0.00010722135,-0.06904122,0.0036908973
-0.011090301,-0.0074160383,0.0022728886,-0.24442826,-0.05353528,-0.019646173,-0.071123056,-0.024239771,-0.000967839,-0.01479266,0.0027739948,-0.14947607,0.011700342,0.00095453893,-0.048889056,0.0,-0.016202344,0.0,0.00045576636,0.0,-0.050881438,0.0,0.008677997,0.0,0.015958976,0.031014504,-0.6178353,-0.0011360421,0.20847902,0.00091037835
